Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;29;1,395663;1;3;Odd;Left;Left;0,4272255
2;29;1,637912;1;6;Even;Right;Right;0,8012867
3;29;1,418146;1;4;Even;Right;Right;0,691202
4;29;1,618314;1;7;Odd;Left;Left;1,60712
5;29;1,531105;1;2;Even;Right;Right;0,7373507
6;29;1,340416;1;8;Even;Right;Right;0,6009694
7;29;1,069588;1;9;Odd;Left;Left;0,2934705
8;29;1,094219;1;1;Odd;Left;Left;0,3013907
10;29;1,017574;1;1;Odd;Left;Left;0,2573503
11;29;1,115455;1;9;Odd;Left;Left;0,2432126
12;29;2,679853;1;6;Even;Right;Right;1,818288
13;29;1,171517;1;7;Odd;Left;Left;0,3357846
14;29;2,444668;1;3;Odd;Left;Left;1,888831
15;29;1,731586;1;4;Even;Right;Right;0,4913291
16;29;1,295182;1;2;Even;Right;Right;1,283985
17;29;1,15403;1;8;Even;Right;Right;0,3805405
19;29;1,148548;1;2;Even;Right;Right;0,3786769
20;29;1,298167;1;1;Odd;Left;Left;0,3781567
21;29;1,104606;1;7;Odd;Left;Left;0,335273
22;29;1,239066;1;8;Even;Right;Right;0,4015925
23;29;1,23594;1;4;Even;Right;Right;0,4326311
24;29;1,062313;1;6;Even;Right;Right;0,3597944
25;29;1,001979;1;3;Odd;Left;Left;0,3665268
26;29;1,037484;1;9;Odd;Left;Left;0,3026528
28;29;1,138484;1;1;Odd;Left;Left;0,3235854
29;29;2,281843;1;2;Even;Right;Right;1,520869
30;29;1,147946;1;7;Odd;Left;Left;0,2986178
31;29;2,504045;1;4;Even;Right;Right;2,492808
32;29;1,060004;1;8;Even;Right;Right;0,3783444
33;29;1,414393;1;6;Even;Right;Right;0,7556175
34;29;1,102078;1;3;Odd;Left;Left;0,3235848
35;29;1,294259;1;9;Odd;Left;Left;0,300456
37;29;1,105529;1;1;Odd;Left;Left;0,2798274
38;29;0,9377342;1;7;Odd;Left;Left;0,2926906
39;29;1,116082;1;3;Odd;Left;Left;0,335203
40;29;1,319862;1;6;Even;Right;Right;0,3578594
41;29;1,317429;1;8;Even;Right;Right;0,4143255
42;29;1,45915;1;2;Even;Right;Right;0,3653994
43;29;1,137364;1;4;Even;Right;Right;0,3805229
44;29;1,129646;1;9;Odd;Left;Left;0,4358816
46;29;1,085199;1;4;Even;Right;Right;0,4040279
47;29;1,015567;1;1;Odd;Left;Left;0,3112257
48;29;1,116975;1;3;Odd;Left;Left;0,2557985
49;29;1,137858;1;9;Odd;Left;Left;0,334353
50;29;1,262398;1;6;Even;Right;Right;0,3350875
51;29;1,071896;1;7;Odd;Left;Left;0,3015327
52;29;2,040931;1;2;Even;Right;Right;1,259515
53;29;3,015024;1;8;Even;Right;Right;1,853457
55;29;2,580341;1;4;Even;Right;Right;1,541538
56;29;1,076498;1;6;Even;Right;Right;0,3811238
57;29;1,496024;1;2;Even;Right;Right;0,4014764
