Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;01;1,864521;1;6;Even;Right;Right;1,85343
2;01;1,532667;1;7;Odd;Left;Left;0,7481132
3;01;1,195681;1;1;Odd;Left;Left;0,4028964
4;01;1,952586;1;3;Odd;Left;Left;1,287969
5;01;1,195286;1;9;Odd;Left;Left;1,016485
6;01;1,002018;1;8;Even;Right;Right;0,3428653
7;01;1,137486;1;2;Even;Right;Right;0,5625005
8;01;0,7930591;1;4;Even;Right;Right;0,2231205
10;01;1,188254;1;8;Even;Right;Right;0,6034069
11;01;1,254345;1;3;Odd;Left;Left;1,242795
12;01;0,9486982;1;6;Even;Right;Right;0,9378021
13;01;0,9508141;1;7;Odd;Left;Left;0,8723676
14;01;2,378228;1;2;Even;Right;Right;2,367002
15;01;1,225698;1;1;Odd;Left;Left;0,6861022
16;01;0,8727074;1;4;Even;Right;Right;0,7940537
17;01;1,1172;1;9;Odd;Left;Left;0,4578867
19;01;1,603179;1;2;Even;Right;Right;0,7361066
20;01;0,9037406;1;8;Even;Right;Right;0,3019664
21;01;1,081166;1;7;Odd;Left;Left;0,9586967
22;01;1,208367;1;6;Even;Right;Right;0,2809507
23;01;1,082591;1;3;Odd;Left;Left;0,5246288
24;01;1,392437;1;4;Even;Right;Right;1,382044
25;01;1,080419;1;1;Odd;Left;Left;1,070426
26;01;1,118063;1;9;Odd;Left;Left;1,082376
28;01;2,485023;1;3;Odd;Left;Left;1,94889
29;01;1,042866;1;8;Even;Right;Right;0,7057831
30;01;0,8826894;1;9;Odd;Left;Left;0,8716009
31;01;0,8038785;1;7;Odd;Left;Left;0,3571649
32;01;1,135611;1;1;Odd;Left;Left;0,3767035
33;01;0,994593;1;6;Even;Right;Right;0,435564
34;01;1,207383;1;2;Even;Right;Right;1,195857
35;01;0,815953;1;4;Even;Right;Right;0,8046765
37;01;0,7349436;1;2;Even;Right;Right;0,724176
38;01;1,686321;1;8;Even;Right;Right;1,340876
