Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;05;1,239831;1;4;Even;Right;Right;0,4733894
2;05;0,9872146;1;9;Odd;Left;Left;0,2695399
3;05;0,8836698;1;2;Even;Right;Right;0,8723345
4;05;1,454005;1;8;Even;Right;Right;0,8724302
5;05;0,8369086;1;7;Odd;Left;Left;0,82577
6;05;0,8599082;1;3;Odd;Left;Left;0,8488092
7;05;1,016532;1;1;Odd;Left;Left;1,00548
8;05;0,8335454;1;6;Even;Right;Right;0,8223558
10;05;0,8593551;1;3;Odd;Left;Left;0,2778684
11;05;0,759491;1;1;Odd;Left;Left;0,7482387
12;05;0,9828636;1;9;Odd;Left;Left;0,8388002
13;05;1,598453;1;4;Even;Right;Right;1,140681
14;05;0,7708489;1;7;Odd;Left;Left;0,2902797
15;05;0,9036367;1;2;Even;Right;Right;0,8903861
16;05;1,163194;1;8;Even;Right;Right;0,8378796
17;05;1,417723;1;6;Even;Right;Right;1,138748
19;05;1,663951;1;2;Even;Right;Right;1,00644
20;05;0,8541996;1;9;Odd;Left;Left;0,8428541
21;05;1,206289;1;3;Odd;Left;Left;1,19501
22;05;0,8384613;1;7;Odd;Left;Left;0,8270167
23;05;1,395488;1;6;Even;Right;Right;1,38425
24;05;1,174337;1;8;Even;Right;Left;0,6351882
25;05;1,170996;1;4;Even;Right;Right;1,15967
26;05;0,9031845;1;1;Odd;Left;Left;0,3688893
28;05;1,239775;1;9;Odd;Left;Left;0,517645
29;05;0,9907424;1;4;Even;Right;Right;0,4111739
30;05;0,8149009;1;1;Odd;Left;Left;0,3382277
31;05;1,09505;1;8;Even;Right;Right;1,083353
32;05;0,8488165;1;7;Odd;Left;Left;0,837892
33;05;0,8260267;1;6;Even;Right;Right;0,270267
34;05;1,081355;1;2;Even;Right;Right;0,6571551
35;05;0,8044226;1;3;Odd;Left;Left;0,6258467
37;05;1,016019;1;2;Even;Right;Right;0,4370298
38;05;0,9605528;1;6;Even;Right;Right;0,3238142
39;05;1,138747;1;3;Odd;Left;Left;0,4466081
40;05;0,8599802;1;8;Even;Right;Right;0,2582876
41;05;0,9271251;1;9;Odd;Left;Left;0,6031507
42;05;3,473482;1;1;Odd;Left;Left;2,880632
43;05;0,7927341;1;4;Even;Right;Right;0,256516
44;05;1,553925;1;7;Odd;Left;Left;0,7630089
46;05;0,9004588;1;3;Odd;Left;Left;0,8888259
47;05;0,9144627;1;7;Odd;Left;Left;0,3354933
48;05;0,6933178;1;2;Even;Right;Right;0,2239033
49;05;0,89325;1;9;Odd;Left;Right;0,8815193
50;05;0,9732022;1;8;Even;Right;Right;0,4136518
51;05;0,9139912;1;6;Even;Right;Right;0,3162304
52;05;1,195263;1;4;Even;Right;Right;0,536893
53;05;0,7779329;1;1;Odd;Left;Left;0,2906506
55;05;1,319266;1;3;Odd;Left;Left;0,470853
56;05;0,9823987;1;7;Odd;Left;Left;0,9709667
57;05;0,8369991;1;1;Odd;Left;Left;0,304996
58;05;0,8329824;1;4;Even;Right;Right;0,2542385
59;05;1,283432;1;9;Odd;Left;Left;0,7022948
60;05;1,46326;1;2;Even;Right;Right;0,6040753
61;05;1,015017;1;8;Even;Right;Right;0,2592877
62;05;0,8822628;1;6;Even;Right;Right;0,2569722
64;05;0,7816278;1;1;Odd;Left;Left;0,3143825
65;05;0,8984932;1;7;Odd;Left;Left;0,2803276
66;05;0,8339468;1;6;Even;Right;Right;0,2142934
67;05;1,105813;1;4;Even;Right;Right;0,5032705
68;05;1,082251;1;2;Even;Right;Right;0,2684113
69;05;0,8109396;1;9;Odd;Left;Left;0,282532
70;05;1,093435;1;3;Odd;Left;Left;0,3569876
71;05;0,7894262;1;8;Even;Right;Right;0,1987217
73;05;0,7809424;1;8;Even;Right;Right;0,7693208
74;05;1,194638;1;2;Even;Right;Right;0,4474173
75;05;0,8712143;1;9;Odd;Left;Left;0,2351131
76;05;2,847642;1;1;Odd;Left;Left;2,131016
77;05;0,816804;1;3;Odd;Left;Left;0,3417414
78;05;0,8436238;1;7;Odd;Left;Left;0,2401468
79;05;0,8824765;1;6;Even;Right;Right;0,2137147
80;05;0,8186753;1;4;Even;Right;Right;0,2115909
82;05;0,836065;1;9;Odd;Left;Left;0,3019041
