Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;28;2,078438;2;2;Even;Left;Left;0,3250493
2;28;1,462933;2;1;Odd;Right;Right;0,6353148
3;28;1,519207;2;3;Odd;Right;Right;0,5011752
4;28;1,161977;2;7;Odd;Right;Right;1,150696
5;28;1,271835;2;6;Even;Left;Left;0,3771833
6;28;1,259072;2;9;Odd;Right;Right;0,4212598
7;28;1,057415;2;4;Even;Left;Left;1,046319
8;28;1,1736;2;8;Even;Left;Left;0,3588847
10;28;3,138618;2;8;Even;Left;Left;3,127473
11;28;1,753252;2;9;Odd;Right;Right;0,9362827
12;28;1,362263;2;4;Even;Left;Left;0,3637371
13;28;1,929371;2;6;Even;Left;Left;0,5101604
14;28;1,171005;2;2;Even;Left;Left;0,332689
15;28;1,643525;2;3;Odd;Right;Right;0,6924595
16;28;1,730754;2;1;Odd;Right;Right;0,9335114
17;28;4,500827;2;7;Odd;Right;Right;3,540631
19;28;1,03952;2;4;Even;Left;Left;0,3696019
20;28;1,554183;2;6;Even;Left;Left;0,3587538
21;28;1,174586;2;3;Odd;Right;Right;0,5697034
22;28;1,311262;2;7;Odd;Right;Right;0,4251988
23;28;1,295611;2;1;Odd;Right;Right;0,4358099
24;28;1,381875;2;9;Odd;Right;Right;1,315505
25;28;1,01527;2;8;Even;Left;Left;0,2787141
26;28;1,078768;2;2;Even;Left;Left;0,8906358
28;28;1,719503;2;6;Even;Left;Left;0,2672743
29;28;0,682218;2;8;Even;Left;Left;0,2341575
30;28;2,925079;2;1;Odd;Right;Right;2,2808
31;28;1,19643;2;3;Odd;Right;Left;0,6593921
32;28;1,358761;2;2;Even;Left;Left;0,2488867
33;28;1,396875;2;7;Odd;Right;Right;0,3580161
34;28;1,295542;2;9;Odd;Right;Right;0,3902333
35;28;1,635133;2;4;Even;Left;Left;1,624015
37;28;1,244297;2;2;Even;Left;Left;0,2789077
38;28;1,343115;2;9;Odd;Right;Right;0,535723
39;28;1,173424;2;1;Odd;Right;Right;0,5266441
40;28;1,384789;2;6;Even;Left;Left;0,5818362
41;28;1,371542;2;7;Odd;Right;Right;0,4135619
42;28;1,041914;2;8;Even;Left;Left;1,030638
43;28;0,9779716;2;4;Even;Left;Left;0,3506743
44;28;3,03912;2;3;Odd;Right;Right;2,277688
46;28;1,530537;2;9;Odd;Right;Right;0,5373183
47;28;1,132207;2;3;Odd;Right;Right;0,4147588
48;28;0,9368419;2;2;Even;Left;Left;0,3777474
49;28;1,094156;2;7;Odd;Right;Right;0,4587175
50;28;1,752865;2;6;Even;Left;Left;0,7138422
51;28;1,194446;2;4;Even;Left;Left;0,3686872
52;28;1,586016;2;8;Even;Left;Left;0,2568341
53;28;1,039818;2;1;Odd;Right;Right;0,4043903
55;28;1,240366;2;8;Even;Left;Left;0,3360741
56;28;0,8746997;2;4;Even;Left;Left;0,2827448
57;28;0,9569842;2;3;Odd;Right;Right;0,3464246
58;28;1,623115;2;9;Odd;Right;Right;1,049759
59;28;1,217723;2;1;Odd;Right;Right;0,839034
60;28;1,037862;2;6;Even;Left;Left;0,3342878
61;28;1,395434;2;7;Odd;Right;Right;0,4239326
62;28;1,117133;2;2;Even;Left;Left;0,3241298
64;28;1,360926;2;8;Even;Left;Right;0,412389
65;28;1,373893;2;3;Odd;Right;Left;0,714824
66;28;1,183654;2;6;Even;Left;Left;0,3232854
67;28;1,138725;2;2;Even;Left;Left;0,301416
68;28;0,9913856;2;4;Even;Left;Left;0,3031891
69;28;1,351067;2;9;Odd;Right;Right;0,5144737
70;28;2,478182;2;1;Odd;Right;Right;1,796569
71;28;1,742039;2;7;Odd;Right;Right;1,117377
73;28;1,160517;2;4;Even;Left;Left;0,2872688
74;28;1,155054;2;1;Odd;Right;Right;0,4476957
75;28;1,172114;2;3;Odd;Right;Right;0,3786985
76;28;1,081772;2;2;Even;Left;Left;0,3461388
77;28;1,038676;2;8;Even;Left;Left;0,3461193
78;28;1,911093;2;6;Even;Left;Left;1,777259
79;28;1,173169;2;7;Odd;Right;Right;0,3915461
80;28;1,235531;2;9;Odd;Right;Right;0,3107749
82;28;1,294946;2;1;Odd;Right;Right;0,5013725
83;28;2,781371;2;7;Odd;Right;Right;2,769875
84;28;1,420362;2;3;Odd;Right;Right;0,3576827
85;28;2,000151;2;4;Even;Left;Left;1,842992
86;28;0,927963;2;2;Even;Left;Left;0,2907879
87;28;1,101855;2;9;Odd;Right;Right;0,4095916
88;28;1,151949;2;8;Even;Left;Left;1,141768
89;28;0,8842831;2;6;Even;Left;Left;0,7309821
91;28;1,272761;2;3;Odd;Right;Right;0,712452
92;28;1,339231;2;1;Odd;Right;Right;0,8368137
93;28;1,407828;2;2;Even;Left;Right;0,5808036
94;28;1,016301;2;8;Even;Left;Left;0,3018222
95;28;0,9267541;2;4;Even;Left;Left;0,9150555
96;28;1,183805;2;7;Odd;Right;Right;0,5440648
97;28;1,977013;2;6;Even;Left;Left;1,965349
98;28;1,451611;2;9;Odd;Right;Right;0,4136953
100;28;1,651642;2;4;Even;Left;Left;0,3126305
101;28;1,162151;2;9;Odd;Right;Right;0,37985
102;28;1,096398;2;6;Even;Left;Left;0,3037866
103;28;1,171737;2;7;Odd;Right;Right;1,161905
104;28;1,117502;2;3;Odd;Right;Right;0,6260577
105;28;0,8817868;2;8;Even;Left;Left;0,867513
106;28;2,009835;2;1;Odd;Right;Right;1,317542
107;28;1,254244;2;2;Even;Left;Left;0,3165511
109;28;1,753542;2;6;Even;Left;Left;0,2552906
110;28;0,8161847;2;8;Even;Left;Left;0,2343073
111;28;1,015966;2;1;Odd;Right;Right;0,3576179
112;28;1,464326;2;2;Even;Left;Left;1,453199
113;28;2,881194;2;9;Odd;Right;Right;1,585517
114;28;0,8728386;2;4;Even;Left;Left;0,2632357
115;28;1,230003;2;7;Odd;Right;Right;0,5123051
116;28;1,389694;2;3;Odd;Right;Right;0,4471981
118;28;1,116995;2;9;Odd;Right;Right;0,3940806
119;28;0,9616468;2;3;Odd;Right;Right;0,3481383
120;28;0,7726264;2;4;Even;Left;Left;0,2786725
121;28;1,342081;2;6;Even;Left;Left;1,118713
122;28;0,9169851;2;8;Even;Left;Left;0,3013045
123;28;1,228626;2;1;Odd;Right;Right;1,217777
124;28;1,013098;2;2;Even;Left;Left;1,002597
125;28;1,084072;2;7;Odd;Right;Right;0,4226784
127;28;1,145112;2;3;Odd;Right;Right;0,3800794
128;28;0,7355458;2;4;Even;Left;Left;0,7253129
129;28;1,123335;2;2;Even;Left;Left;1,112134
130;28;0,9383349;2;8;Even;Left;Left;0,798062
131;28;1,316537;2;9;Odd;Right;Right;0,5778507
132;28;0,9931561;2;7;Odd;Right;Right;0,4229656
133;28;1,260839;2;6;Even;Left;Left;0,3254105
134;28;1,0398;2;1;Odd;Right;Right;0,4360923
Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;28;1,340463;1;2;Even;Right;Right;0,6836022
2;28;1,084014;1;7;Odd;Left;Left;0,3240578
3;28;1,060338;1;8;Even;Right;Right;0,349243
4;28;1,085845;1;1;Odd;Left;Left;0,4600862
5;28;1,080244;1;9;Odd;Left;Left;1,069257
6;28;1,09361;1;4;Even;Right;Right;0,4019691
7;28;1,072029;1;3;Odd;Left;Left;0,3587419
8;28;1,137874;1;6;Even;Right;Right;0,3352473
10;28;0,994082;1;6;Even;Right;Right;0,3239517
