Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;100;1,061261;1;3;Odd;Left;Left;0,314513
2;100;2,46845;1;6;Even;Right;Right;1,962734
3;100;0,8389069;1;1;Odd;Left;Left;0,2912571
4;100;1,318568;1;7;Odd;Left;Left;0,4800174
5;100;3,396734;1;4;Even;Right;Right;2,873173
6;100;3,317829;1;8;Even;Right;Right;3,073892
7;100;3,854215;1;9;Odd;Left;Left;3,143034
8;100;2,31256;1;2;Even;Right;Right;1,273333
10;100;19,32128;1;7;Odd;Left;Left;18,60636
11;100;2,035302;1;1;Odd;Left;Left;1,360371
12;100;1,016118;1;8;Even;Right;Right;0,3793897
13;100;0,9386848;1;6;Even;Right;Right;0,3359405
14;100;0,8820694;1;2;Even;Right;Right;0,3141727
15;100;0,7433565;1;4;Even;Right;Right;0,2793412
16;100;0,8514024;1;9;Odd;Left;Left;0,3380823
17;100;1,09929;1;3;Odd;Left;Left;0,706698
19;100;0,8588585;1;7;Odd;Left;Left;0,3940015
20;100;0,7137009;1;8;Even;Right;Right;0,2570176
21;100;0,9384606;1;1;Odd;Left;Left;0,4357399
22;100;0,9140244;1;2;Even;Right;Right;0,9029835
23;100;1,115856;1;3;Odd;Left;Left;0,3552303
24;100;2,514684;1;4;Even;Right;Right;2,03166
25;100;1,430316;1;6;Even;Right;Right;0,3580312
26;100;0,9018367;1;9;Odd;Left;Left;0,2809273
28;100;2,601593;1;7;Odd;Left;Left;2,590846
29;100;1,263684;1;4;Even;Right;Right;0,3696682
30;100;0,8167624;1;2;Even;Right;Right;0,3125311
31;100;1,105967;1;3;Odd;Left;Left;0,2451792
32;100;0,8831416;1;9;Odd;Left;Left;0,3571086
33;100;1,138657;1;8;Even;Right;Right;0,4278138
34;100;0,9491814;1;6;Even;Right;Right;0,3459182
35;100;1,597276;1;1;Odd;Left;Left;1,072237
37;100;0,9387235;1;1;Odd;Left;Left;0,3816194
38;100;0,9378553;1;2;Even;Right;Right;0,2796409
39;100;1,016576;1;6;Even;Right;Right;0,8141147
40;100;1,274403;1;7;Odd;Left;Left;1,26218
41;100;0,9349278;1;9;Odd;Left;Left;0,3215497
42;100;0,916545;1;3;Odd;Left;Left;0,3585541
43;100;0,9122187;1;4;Even;Right;Right;0,3093477
44;100;0,9714079;1;8;Even;Right;Right;0,3380912
46;100;1,082168;1;2;Even;Right;Right;0,3234481
47;100;0,9131513;1;1;Odd;Left;Left;0,9046481
48;100;1,041759;1;7;Odd;Left;Left;0,3618531
49;100;1,000679;1;6;Even;Right;Right;0,9909031
50;100;1,216417;1;9;Odd;Left;Left;0,4572936
51;100;1,340634;1;4;Even;Right;Right;0,3797439
52;100;0,792667;1;8;Even;Right;Right;0,358178
53;100;0,9376137;1;3;Odd;Left;Left;0,3575494
55;100;1,117166;1;1;Odd;Left;Left;0,50766
56;100;1,016785;1;4;Even;Right;Right;0,3589994
57;100;0,7687147;1;8;Even;Right;Right;0,2892118
58;100;1,072556;1;9;Odd;Left;Left;0,5208717
59;100;0,9062666;1;6;Even;Right;Right;0,2911898
60;100;1,244026;1;7;Odd;Left;Left;0,3841952
61;100;1,056788;1;3;Odd;Left;Left;0,4748559
62;100;1,095785;1;2;Even;Right;Right;0,3598642
64;100;1,518735;1;7;Odd;Left;Left;1,507992
65;100;1,115072;1;9;Odd;Left;Left;1,104073
66;100;0,9769691;1;6;Even;Right;Right;0,3182242
67;100;1,441168;1;4;Even;Right;Right;1,429837
68;100;0,8603417;1;8;Even;Right;Right;0,8487561
69;100;0,9198855;1;1;Odd;Left;Left;0,3244755
70;100;1,216549;1;2;Even;Right;Left;1,205983
71;100;1,062629;1;3;Odd;Left;Left;0,504398
73;100;0,8610821;1;6;Even;Right;Right;0,2790583
74;100;1,094442;1;8;Even;Right;Right;0,3576896
75;100;1,720863;1;4;Even;Right;Right;0,739258
76;100;0,8706479;1;2;Even;Right;Right;0,3385295
77;100;0,9042534;1;3;Odd;Left;Left;0,334609
78;100;0,9040622;1;1;Odd;Left;Left;0,3366593
79;100;1,955081;1;9;Odd;Left;Left;0,3364885
80;100;2,075828;1;7;Odd;Left;Left;1,517352
82;100;0,9938223;1;1;Odd;Left;Left;0,5595068
83;100;1,278768;1;6;Even;Right;Right;0,2774965
84;100;1,341361;1;7;Odd;Left;Left;0,3783946
85;100;1,755848;1;2;Even;Right;Right;1,746855
86;100;0,8932807;1;3;Odd;Left;Left;0,3571557
87;100;1,820148;1;9;Odd;Left;Left;1,809167
88;100;1,105794;1;4;Even;Right;Right;0,3578985
89;100;0,9010139;1;8;Even;Right;Right;0,2576373
91;100;1,016593;1;7;Odd;Left;Left;0,4013235
92;100;1,06107;1;6;Even;Right;Right;0,3230109
93;100;1,005386;1;9;Odd;Left;Left;0,3235306
94;100;0,8382087;1;1;Odd;Left;Left;0,3013396
95;100;0,8921357;1;2;Even;Right;Right;0,3132225
96;100;1,474789;1;4;Even;Right;Right;1,463707
97;100;0,8408478;1;3;Odd;Left;Left;0,8294393
98;100;1,08275;1;8;Even;Right;Right;0,3899484
100;100;1,037307;1;8;Even;Right;Right;0,2841676
101;100;1,117295;1;6;Even;Right;Right;0,3469553
102;100;1,306862;1;4;Even;Right;Right;1,295879
103;100;0,8931084;1;7;Odd;Left;Left;0,3570085
104;100;1,009582;1;1;Odd;Left;Left;0,3512038
105;100;1,039713;1;9;Odd;Left;Left;0,3250375
106;100;1,005673;1;3;Odd;Left;Left;0,9936427
107;100;1,040922;1;2;Even;Right;Right;0,3820588
109;100;0,9390935;1;8;Even;Right;Right;0,2711025
110;100;0,9604141;1;6;Even;Right;Right;0,3807377
111;100;0,8593936;1;3;Odd;Left;Left;0,3206602
112;100;0,961105;1;7;Odd;Left;Left;0,9494679
113;100;1,597745;1;9;Odd;Left;Left;1,039335
114;100;0,9049238;1;1;Odd;Left;Left;0,3017585
115;100;1,08283;1;2;Even;Right;Right;0,4581302
116;100;0,7712075;1;4;Even;Right;Right;0,3025335
118;100;0,7360803;1;8;Even;Right;Right;0,2560481
119;100;0,8572515;1;1;Odd;Left;Left;0,3326064
120;100;1,003172;1;6;Even;Right;Right;0,9929322
121;100;1,014667;1;3;Odd;Left;Left;1,005243
122;100;1,375965;1;9;Odd;Left;Left;1,364477
123;100;1,24684;1;2;Even;Right;Right;0,6114197
