Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;20;1,005754;2;4;Even;Left;Left;0,9944894
2;20;0,7005031;2;6;Even;Left;Left;0,6898593
3;20;0,5805663;2;2;Even;Left;Left;0,5696798
4;20;0,6135805;2;7;Odd;Right;Right;0,602474
5;20;0,8481249;2;1;Odd;Right;Right;0,8369098
6;20;0,5910717;2;9;Odd;Right;Right;0,5802003
7;20;0,716985;2;8;Even;Left;Left;0,7059799
8;20;0,8304296;2;3;Odd;Right;Right;0,8187774
10;20;0,7818429;2;7;Odd;Right;Right;0,7704086
11;20;0,634697;2;2;Even;Left;Left;0,6255423
12;20;1,135905;2;9;Odd;Right;Right;1,12475
13;20;0,5941539;2;3;Odd;Right;Right;0,5820541
14;20;0,749952;2;8;Even;Left;Left;0,738658
15;20;0,8615019;2;1;Odd;Right;Right;0,8498428
16;20;1,458813;2;6;Even;Left;Left;1,447471
17;20;1,497366;2;4;Even;Left;Left;1,485723
19;20;0,8078409;2;9;Odd;Right;Right;0,7966683
20;20;0,9542804;2;3;Odd;Right;Right;0,9427317
21;20;0,7366942;2;2;Even;Left;Left;0,7264316
22;20;0,780758;2;7;Odd;Right;Right;0,7673969
23;20;0,8272651;2;1;Odd;Right;Right;0,8162716
24;20;1,217137;2;4;Even;Left;Left;1,206372
25;20;0,7592251;2;8;Even;Left;Left;0,7477671
26;20;0,9792615;2;6;Even;Left;Left;0,9663104
28;20;0,7485733;2;6;Even;Left;Left;0,736182
29;20;0,8114935;2;9;Odd;Right;Right;0,8007891
30;20;0,7140156;2;8;Even;Left;Left;0,7024375
31;20;0,8022432;2;1;Odd;Right;Right;0,7908835
32;20;0,6184416;2;7;Odd;Right;Right;0,6070548
33;20;0,6457652;2;4;Even;Left;Left;0,6332812
34;20;0,6422955;2;2;Even;Left;Left;0,6315789
35;20;0,952806;2;3;Odd;Right;Right;0,9418707
37;20;0,6133688;2;2;Even;Left;Left;0,6024826
38;20;0,6845264;2;7;Odd;Right;Right;0,6710207
39;20;0,7045209;2;9;Odd;Right;Right;0,6925856
40;20;0,8059728;2;1;Odd;Right;Right;0,7947008
41;20;0,8605145;2;3;Odd;Right;Right;0,8485637
42;20;0,7926539;2;6;Even;Left;Left;0,7816539
43;20;0,6557587;2;8;Even;Left;Left;0,6458796
44;20;0,6994178;2;4;Even;Left;Left;0,6886373
46;20;0,9144624;2;8;Even;Left;Left;0,9033309
47;20;0,703842;2;1;Odd;Right;Right;0,6930086
48;20;0,7821032;2;3;Odd;Right;Right;0,7708858
49;20;0,5468779;2;9;Odd;Right;Right;0,5357694
50;20;0,9979395;2;6;Even;Left;Left;0,9866848
51;20;0,6567425;2;7;Odd;Right;Right;0,6442853
52;20;0,726925;2;2;Even;Left;Left;0,7146546
53;20;0,7377384;2;4;Even;Left;Left;0,7265359
55;20;0,5647248;2;2;Even;Left;Left;0,5577443
56;20;0,7047293;2;1;Odd;Right;Right;0,6937652
57;20;0,6926622;2;7;Odd;Right;Right;0,6818477
58;20;0,6140937;2;3;Odd;Right;Right;0,6027623
59;20;0,984046;2;4;Even;Left;Left;0,9727254
60;20;0,6599002;2;9;Odd;Right;Right;0,6490694
61;20;0,6737565;2;8;Even;Left;Left;0,6633074
62;20;0,9097094;2;6;Even;Left;Left;0,8984974
64;20;0,7375119;2;8;Even;Left;Left;0,7259639
65;20;0,659306;2;4;Even;Left;Left;0,6479581
66;20;0,9688609;2;1;Odd;Right;Right;0,9579965
67;20;0,8928831;2;6;Even;Left;Left;0,8818344
68;20;0,8819104;2;9;Odd;Right;Right;0,869746
69;20;1,84586;2;7;Odd;Right;Right;1,834671
70;20;0,6937078;2;2;Even;Left;Left;0,6822653
71;20;0,6479847;2;3;Odd;Right;Right;0,636537
73;20;0,7263882;2;1;Odd;Right;Right;0,7149304
74;20;0,6711079;2;3;Odd;Right;Right;0,6593699
75;20;1,273012;2;7;Odd;Right;Right;1,261682
76;20;0,7382844;2;8;Even;Left;Left;0,7267868
77;20;0,9165023;2;6;Even;Left;Left;0,9057236
78;20;0,7856781;2;9;Odd;Right;Right;0,7745504
79;20;1,236337;2;4;Even;Left;Left;1,226335
80;20;0,5576761;2;2;Even;Left;Left;0,5469222
82;20;0,6932562;2;3;Odd;Right;Right;0,6818894
83;20;1,116734;2;7;Odd;Right;Right;1,105546
84;20;0,7832214;2;6;Even;Left;Left;0,7718903
85;20;0,6811565;2;9;Odd;Right;Right;0,6699585
86;20;0,5936124;2;4;Even;Left;Left;0,5828506
87;20;0,5559733;2;2;Even;Left;Left;0,5444974
88;20;0,7081891;2;1;Odd;Right;Right;0,697367
89;20;1,293727;2;8;Even;Left;Left;1,282526
91;20;0,7262265;2;9;Odd;Right;Right;0,7151762
92;20;1,000757;2;4;Even;Left;Left;0,9896223
93;20;0,7030037;2;1;Odd;Right;Right;0,6922334
94;20;1,140052;2;8;Even;Left;Left;1,129199
95;20;0,7369858;2;3;Odd;Right;Right;0,7262344
96;20;0,7319947;2;7;Odd;Right;Right;0,7230496
97;20;0,7794424;2;2;Even;Left;Left;0,7684811
98;20;1,011947;2;6;Even;Left;Left;1,000793
100;20;0,6161452;2;7;Odd;Right;Right;0,6056715
101;20;0,6351123;2;2;Even;Left;Left;0,6239869
102;20;0,7998146;2;4;Even;Left;Left;0,7893379
103;20;0,7733343;2;3;Odd;Right;Right;0,7621982
104;20;0,7163265;2;9;Odd;Right;Right;0,7052642
105;20;0,8605737;2;6;Even;Left;Left;0,8493576
106;20;0,7035905;2;1;Odd;Right;Right;0,692925
107;20;0,8178989;2;8;Even;Left;Left;0,8057856
109;20;0,7590306;2;2;Even;Left;Left;0,7467965
110;20;0,7279836;2;1;Odd;Right;Right;0,7170751
111;20;0,860116;2;4;Even;Left;Left;0,8486503
112;20;0,7362813;2;7;Odd;Right;Right;0,7250841
113;20;0,75701;2;6;Even;Left;Left;0,7448307
114;20;0,6166993;2;9;Odd;Right;Right;0,6056519
115;20;0,6807789;2;8;Even;Left;Left;0,6700373
116;20;0,6497745;2;3;Odd;Right;Right;0,6382976
118;20;0,6708472;2;7;Odd;Right;Right;0,6596365
119;20;1,094798;2;2;Even;Left;Left;1,083375
120;20;1,679438;2;9;Odd;Right;Right;1,668422
121;20;0,730906;2;8;Even;Left;Left;0,7221949
122;20;0,9377316;2;6;Even;Left;Left;0,926506
123;20;0,6781011;2;4;Even;Left;Left;0,6659172
124;20;0,6834792;2;3;Odd;Right;Right;0,6723046
125;20;0,8264186;2;1;Odd;Right;Right;0,8153847
127;20;0,6409727;2;4;Even;Left;Left;0,630797
128;20;1,236982;2;2;Even;Left;Left;1,226276
129;20;0,7702108;2;1;Odd;Right;Right;0,7594574
130;20;0,7810374;2;9;Odd;Right;Right;0,7695189
131;20;0,5916038;2;7;Odd;Right;Right;0,5796136
132;20;0,7000706;2;3;Odd;Right;Right;0,6880676
133;20;0,7353158;2;8;Even;Left;Left;0,7244377
134;20;0,8151128;2;6;Even;Left;Left;0,803838

