Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;24;1,305526;2;8;Even;Left;Left;1,294294
2;24;0,7368515;2;7;Odd;Right;Right;0,724888
3;24;0,7599111;2;9;Odd;Right;Right;0,748274
4;24;0,7139306;2;1;Odd;Right;Right;0,7041563
5;24;0,6954236;2;3;Odd;Right;Right;0,6832746
6;24;0,7493903;2;4;Even;Left;Left;0,738288
7;24;1,517428;2;2;Even;Left;Left;1,48402
8;24;0,8163397;2;6;Even;Left;Left;0,8050874
10;24;0,7033238;2;8;Even;Left;Left;0,6936703
11;24;0,7024829;2;2;Even;Left;Left;0,6912552
12;24;1,193543;2;1;Odd;Right;Right;1,181956
13;24;0,7376797;2;9;Odd;Right;Right;0,7257903
14;24;0,6930909;2;3;Odd;Right;Right;0,6811787
15;24;0,7054604;2;7;Odd;Right;Right;0,6938049
16;24;0,7821059;2;6;Even;Left;Left;0,770584
17;24;0,7284253;2;4;Even;Left;Left;0,7181075
19;24;0,7832381;2;6;Even;Left;Left;0,7717454
20;24;0,738213;2;8;Even;Left;Left;0,726706
21;24;0,7618676;2;7;Odd;Right;Right;0,7508603
22;24;0,9161071;2;9;Odd;Right;Right;0,9046746
23;24;0,7024062;2;2;Even;Left;Left;0,6912857
24;24;0,7829192;2;1;Odd;Right;Right;0,7718943
25;24;1,17234;2;4;Even;Left;Left;1,161226
26;24;0,7595775;2;3;Odd;Right;Right;0,7483988
28;24;0,8266864;2;9;Odd;Right;Right;0,8154323
29;24;1,563928;2;6;Even;Left;Left;1,552534
30;24;0,814688;2;3;Odd;Right;Right;0,803739
31;24;1,609144;2;1;Odd;Right;Right;1,597903
32;24;0,9234512;2;8;Even;Left;Left;0,9122041
33;24;0,7939937;2;4;Even;Left;Left;0,7818048
34;24;0,7392427;2;7;Odd;Right;Right;0,7277396
35;24;0,794445;2;2;Even;Left;Left;0,7836649
37;24;0,8047685;2;6;Even;Left;Left;0,7936422
38;24;0,7149851;2;4;Even;Left;Left;0,7037835
39;24;0,771046;2;3;Odd;Right;Right;0,7595512
40;24;0,7371717;2;1;Odd;Right;Right;0,7259008
41;24;0,7814238;2;7;Odd;Right;Right;0,770592
42;24;0,8468159;2;9;Odd;Right;Right;0,8371151
43;24;0,8597059;2;8;Even;Left;Left;0,8481049
44;24;1,296028;2;2;Even;Left;Left;1,284783
46;24;0,7493533;2;8;Even;Left;Left;0,7377293
47;24;0,8039014;2;9;Odd;Right;Right;0,7928187
48;24;0,8488845;2;2;Even;Left;Left;0,837026
49;24;0,8037571;2;3;Odd;Right;Right;0,7924069
50;24;0,837835;2;7;Odd;Right;Right;0,8267127
51;24;0,8809975;2;4;Even;Left;Left;0,8696238
52;24;0,9630691;2;6;Even;Left;Left;0,9510041
53;24;0,8143101;2;1;Odd;Right;Right;0,8041937
55;24;0,8176029;2;7;Odd;Right;Right;0,8056238
56;24;0,9614274;2;8;Even;Left;Left;0,950426
57;24;0,7003646;2;6;Even;Left;Left;0,6785054
58;24;0,7705532;2;2;Even;Left;Left;0,7589675
59;24;0,803663;2;4;Even;Left;Left;0,7925055
60;24;1,39613;2;1;Odd;Right;Right;1,384902
61;24;0,7931263;2;3;Odd;Right;Right;0,7818917
62;24;0,7712677;2;9;Odd;Right;Right;0,7601352
64;24;0,758753;2;9;Odd;Right;Right;0,7475408
65;24;0,6579013;2;1;Odd;Right;Right;0,6467584
66;24;0,7034007;2;2;Even;Left;Left;0,6929616
67;24;0,7154046;2;8;Even;Left;Left;0,702811
68;24;0,7027063;2;3;Odd;Right;Right;0,6811048
69;24;0,8917345;2;7;Odd;Right;Right;0,8818768
70;24;0,8935699;2;6;Even;Left;Left;0,8822479
71;24;0,9149992;2;4;Even;Left;Left;0,9042461
73;24;1,39686;2;3;Odd;Right;Right;1,384959
74;24;0,8149641;2;8;Even;Left;Left;0,8032256
75;24;0,9498771;2;6;Even;Left;Left;0,9389389
76;24;0,7793528;2;9;Odd;Right;Right;0,7684132
77;24;0,7043215;2;7;Odd;Right;Right;0,6931349
78;24;0,7467442;2;1;Odd;Right;Right;0,7368899
79;24;0,7379054;2;2;Even;Left;Left;0,7269722
80;24;1,106582;2;4;Even;Left;Left;1,093829
82;24;0,7936534;2;1;Odd;Right;Right;0,7826195
83;24;0,8506713;2;9;Odd;Right;Right;0,8394262
84;24;0,9499102;2;4;Even;Left;Left;0,9386747
85;24;0,9158222;2;3;Odd;Right;Right;0,9044588
86;24;0,7475891;2;7;Odd;Right;Right;0,7364168
87;24;1,161791;2;6;Even;Left;Left;1,150281
88;24;1,541026;2;8;Even;Left;Left;1,529822
89;24;0,8130811;2;2;Even;Left;Left;0,8019144
91;24;0,7819009;2;4;Even;Left;Left;0,7704723
92;24;0,8595881;2;3;Odd;Right;Right;0,8487242
93;24;0,760323;2;7;Odd;Right;Right;0,749436
94;24;0,8370506;2;1;Odd;Right;Right;0,7812909
95;24;0,8828907;2;9;Odd;Right;Right;0,8267039
