Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;05;2,188956;1;8;Even;Right;Right;1,609288
2;05;0,8822337;1;3;Odd;Left;Left;0,2976872
3;05;0,8155473;1;6;Even;Right;Right;0,2579294
4;05;0,8571876;1;7;Odd;Left;Left;0,2438035
5;05;1,887427;1;4;Even;Right;Right;1,497451
6;05;0,9722967;1;2;Even;Right;Right;0,2918037
7;05;0,8256188;1;1;Odd;Left;Left;0,2712607
8;05;2,044996;1;9;Odd;Left;Left;1,441382
10;05;0,8251994;1;7;Odd;Left;Left;0,2463244
11;05;0,925146;1;4;Even;Right;Right;0,3016269
12;05;0,9360282;1;9;Odd;Left;Left;0,3586437
13;05;1,080588;1;3;Odd;Left;Left;0,2392588
14;05;0,760245;1;2;Even;Right;Right;0,3375982
15;05;0,9340258;1;6;Even;Right;Right;0,3157184
16;05;0,9387588;1;1;Odd;Left;Left;0,2801156
17;05;1,5117;1;8;Even;Right;Right;0,9530308
19;05;0,8045981;1;2;Even;Right;Right;0,2820165
20;05;0,925356;1;1;Odd;Left;Left;0,2838331
21;05;0,8787851;1;7;Odd;Left;Left;0,361218
22;05;0,9569642;1;3;Odd;Left;Left;0,3449491
23;05;0,7980517;1;4;Even;Right;Right;0,3134878
24;05;0,8386192;1;9;Odd;Left;Left;0,2615041
25;05;1,922044;1;8;Even;Right;Right;1,56667
26;05;3,283281;1;6;Even;Right;Right;2,805534
28;05;0,7836142;1;2;Even;Right;Right;0,2790847
29;05;0,6994053;1;8;Even;Right;Right;0,3151317
30;05;0,7589943;1;3;Odd;Left;Left;0,2562323
31;05;0,8269526;1;9;Odd;Left;Left;0,7044665
32;05;0,8450556;1;7;Odd;Left;Left;0,778699
33;05;0,7924899;1;4;Even;Right;Right;0,2895202
34;05;0,8721613;1;1;Odd;Left;Left;0,2355647
35;05;1,937838;1;6;Even;Right;Right;1,379632
37;05;0,8698148;1;4;Even;Right;Right;0,2799794
38;05;0,9037456;1;7;Odd;Left;Left;0,2895241
39;05;0,8935763;1;3;Odd;Left;Left;0,3017405
40;05;0,7579004;1;6;Even;Right;Right;0,3021913
41;05;0,8725254;1;2;Even;Right;Right;0,3179891
42;05;0,8268937;1;1;Odd;Left;Left;0,3014445
43;05;0,8268902;1;9;Odd;Left;Left;0,2769948
44;05;0,7059675;1;8;Even;Right;Right;0,3237758
46;05;3,128592;1;4;Even;Right;Right;2,557915
47;05;1,029441;1;2;Even;Right;Right;0,504756
48;05;0,8054142;1;1;Odd;Left;Left;0,2466313
49;05;0,9103227;1;3;Odd;Left;Left;0,3170412
50;05;0,7691187;1;9;Odd;Left;Left;0,289819
51;05;0,8146936;1;7;Odd;Left;Left;0,2591215
52;05;1,54157;1;6;Even;Right;Right;0,919228
53;05;0,7149174;1;8;Even;Right;Right;0,7036279
55;05;0,8015009;1;3;Odd;Left;Left;0,2711651
56;05;0,746197;1;2;Even;Right;Right;0,3588145
57;05;0,7686398;1;8;Even;Right;Right;0,3026895
58;05;0,792851;1;4;Even;Right;Right;0,3015073
59;05;0,814909;1;9;Odd;Left;Left;0,2548676
60;05;1,183237;1;1;Odd;Left;Left;0,5009532
61;05;0,8457801;1;7;Odd;Left;Left;0,2644688
62;05;0,7138225;1;6;Even;Right;Right;0,2558863
64;05;0,8422388;1;9;Odd;Left;Left;0,2928433
65;05;1,584636;1;4;Even;Right;Right;1,082093
66;05;1,005014;1;7;Odd;Left;Left;0,2567962
67;05;0,8980273;1;3;Odd;Left;Left;0,3071209
68;05;1,337628;1;8;Even;Right;Right;0,9600398
69;05;0,7613851;1;2;Even;Right;Right;0,325801
70;05;0,8477643;1;1;Odd;Left;Left;0,2670288
71;05;0,8576941;1;6;Even;Right;Right;0,3148975
