Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;08;1,407123;2;4;Even;Left;Left;1,361611
2;08;0,8616028;2;8;Even;Left;Left;0,8505002
3;08;0,7552188;2;7;Odd;Right;Right;0,6985665
4;08;0,7139642;2;6;Even;Left;Left;0,7033307
5;08;0,7353998;2;3;Odd;Right;Right;0,703203
6;08;0,79376;2;9;Odd;Right;Right;0,7597485
7;08;0,7951986;2;1;Odd;Right;Right;0,7833196
8;08;0,7831181;2;2;Even;Left;Left;0,749181
10;08;2,422163;2;3;Odd;Right;Left;2,366631
11;08;1,272616;2;8;Even;Left;Left;1,220397
12;08;0,8101731;2;9;Odd;Right;Right;0,7991251
13;08;0,8046612;2;6;Even;Left;Left;0,760955
14;08;0,7814609;2;2;Even;Left;Left;0,7592399
15;08;0,7364393;2;4;Even;Left;Left;0,7259218
16;08;0,737599;2;7;Odd;Right;Right;0,7262795
17;08;0,8041078;2;1;Odd;Right;Right;0,7371229
19;08;0,7555736;2;3;Odd;Right;Right;0,7336435
20;08;0,7380996;2;2;Even;Left;Left;0,72568
21;08;0,8822836;2;6;Even;Left;Left;0,8709168
22;08;0,6831937;2;1;Odd;Right;Right;0,6602982
23;08;1,038044;2;9;Odd;Right;Right;1,004681
24;08;0,759367;2;4;Even;Left;Left;0,6807989
25;08;0,7601755;2;8;Even;Left;Left;0,7158271
26;08;0,7701942;2;7;Odd;Right;Right;0,7360361
28;08;1,016494;2;3;Odd;Right;Right;0,9522721
29;08;0,8039439;2;2;Even;Left;Left;0,7919497
30;08;0,7982396;2;1;Odd;Right;Right;0,7866337
31;08;1,004889;2;7;Odd;Right;Right;0,9586018
32;08;0,7029653;2;4;Even;Left;Left;0,6928376
33;08;0,7931357;2;8;Even;Left;Left;0,7818387
34;08;0,7148328;2;6;Even;Left;Left;0,703409
35;08;0,6804641;2;9;Odd;Right;Right;0,6688942
37;08;0,8315921;2;1;Odd;Right;Right;0,819526
38;08;0,6473277;2;8;Even;Left;Left;0,6367823
39;08;0,8397647;2;3;Odd;Right;Right;0,8277288
40;08;0,7604606;2;7;Odd;Right;Right;0,7490923
41;08;0,8604646;2;9;Odd;Right;Right;0,849478
42;08;0,7253022;2;6;Even;Left;Left;0,7150002
43;08;0,7926974;2;2;Even;Left;Left;0,7813233
44;08;0,722684;2;4;Even;Left;Left;0,7124327
46;08;0,7276724;2;7;Odd;Right;Right;0,7163358
