Trial No;Subject ID;Reaction Time;Block No;Stimulus Number;Parity;Correct Response;Actual Response;Response Time
1;13;1,215385;1;1;Odd;Left;Left;0,3992426
2;13;1,017015;1;4;Even;Right;Right;0,4583167
3;13;0,9696652;1;2;Even;Right;Right;0,5074172
4;13;0,8231573;1;9;Odd;Left;Left;0,3139963
5;13;0,7826659;1;7;Odd;Left;Left;0,3458095
6;13;0,8602204;1;6;Even;Right;Right;0,3799666
7;13;0,9150813;1;3;Odd;Left;Left;0,291013
8;13;1,534765;1;8;Even;Right;Right;1,523445
10;13;0,9595157;1;7;Odd;Left;Left;0,3791125
11;13;1,171535;1;2;Even;Right;Right;0,5599043
12;13;0,7862083;1;9;Odd;Left;Left;0,407661
13;13;0,7709723;1;3;Odd;Left;Left;0,2776466
14;13;0,780328;1;1;Odd;Left;Left;0,343911
15;13;1,038452;1;4;Even;Right;Right;0,3810802
16;13;0,9156076;1;6;Even;Right;Right;0,3017024
17;13;0,9502238;1;8;Even;Right;Right;0,3483464
19;13;0,8863606;1;3;Odd;Left;Left;0,3066014
20;13;0,8593071;1;8;Even;Right;Right;0,3227316
21;13;0,8148682;1;7;Odd;Left;Left;0,3013952
22;13;0,8588672;1;2;Even;Right;Right;0,3377497
23;13;0,7969384;1;9;Odd;Left;Left;0,2840646
24;13;0,9037406;1;1;Odd;Left;Left;0,2443258
25;13;0,8099752;1;4;Even;Right;Right;0,3175662
26;13;0,951125;1;6;Even;Right;Right;0,3148463
28;13;0,8598466;1;3;Odd;Left;Left;0,3445609
29;13;0,8134562;1;8;Even;Right;Right;0,2770535
30;13;0,9076331;1;2;Even;Right;Right;0,4386962
31;13;0,8587455;1;9;Odd;Left;Left;0,356536
32;13;0,8495873;1;7;Odd;Left;Left;0,2564782
33;13;0,8080534;1;1;Odd;Left;Left;0,3504604
34;13;0,8382797;1;6;Even;Right;Right;0,2579327
35;13;0,8140285;1;4;Even;Right;Right;0,2776598
37;13;0,8931699;1;3;Odd;Left;Left;0,3118038
38;13;0,8834996;1;8;Even;Right;Right;0,2802827
39;13;0,8702614;1;2;Even;Right;Right;0,4172673
40;13;0,8593159;1;7;Odd;Left;Left;0,649347
41;13;0,7919019;1;9;Odd;Left;Left;0,2080421
